id,subject,subject_type,schooling_type,faculty_type,credit,year
18790,哲学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2025
18791,新・論理学（Ａ）,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2025
20411,文学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2025
18797,歴史（日本史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2025
18798,歴史（東洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2025
18799,歴史（西洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2025
18800,法学（憲法を含む）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2025
18801,政治学（Ａ）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2025
18802,経済学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2025
18803,社会学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2025
18804,統計学（Ａ）,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2025
18805,数学（基礎）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2025
18806,数学（微分・積分）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2025
18807,数学（線形数学）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2025
18808,地学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2025
18809,物理学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2025
18810,化学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2025
18811,生物学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2025
18812,英語Ⅰ,総合教育科目,テキスト科目,外国語科目/英語,2,2025
18813,英語Ⅱ,総合教育科目,テキスト科目,外国語科目/英語,2,2025
18814,英語Ⅲ,総合教育科目,テキスト科目,外国語科目/英語,2,2025
18815,英語Ⅶ,総合教育科目,テキスト科目,外国語科目/英語,2,2025
18816,ドイツ語第一部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2025
18817,ドイツ語第二部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2025
18818,ドイツ語第三部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2025
18819,ドイツ語第四部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2025
18820,フランス語第一部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2025
