id,subject,subject_type,schooling_type,faculty_type,credit,year,class_code
9527,哲学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2022,T0AA000502
9528,論理学（Ａ）,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2022,T0AA000201
12360,文学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2022,T0AA000401
9732,歴史（日本史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2022,T0AA000103
9529,歴史（東洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2022,T0AA000302
9530,歴史（西洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2022,T0AA000601
9531,法学（憲法を含む）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2022,T0AB000201
9532,政治学（Ａ）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2022,T0AB000401
9533,経済学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2022,T0AB000101
9534,新・社会学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2022,T0AB000304
9746,統計学（Ａ）,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2022,T0AC000604
9733,数学（基礎）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2022,T0AC000702
9734,数学（微分・積分）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2022,T0AC000801
9735,数学（線形数学）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2022,T0AC000403
9747,地学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2022,T0AC000504
9535,物理学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2022,T0AC000103
9744,化学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2022,T0AC000203
9745,新・生物学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2022,T0AC000304
9736,英語Ⅰ,総合教育科目,テキスト科目,外国語科目/英語,2,2022,T0DA000701
9737,英語Ⅱ,総合教育科目,テキスト科目,外国語科目/英語,2,2022,T0DA000302
9538,英語Ⅲ,総合教育科目,テキスト科目,外国語科目/英語,2,2022,T0DA000801
9738,英語Ⅶ,総合教育科目,テキスト科目,外国語科目/英語,2,2022,T0DA000401
9539,ドイツ語第一部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2022,T0DB000102
9540,ドイツ語第二部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2022,T0DB000202
9739,ドイツ語第三部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2022,T0DB000402
9541,ドイツ語第四部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2022,T0DB000301
9542,新・フランス語第一部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2022,T0DC000103
9543,新・フランス語第二部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2022,T0DC000203
9544,新・フランス語第三部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2022,T0DC000403
9545,フランス語第四部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2022,T0DC000702
9536,保健衛生,総合教育科目,テキスト科目,保健体育科目,2,2022,T0CA000203
9537,新・体育理論,総合教育科目,テキスト科目,保健体育科目,2,2022,T0CA000103
9546,西洋哲学史Ⅰ,文学部専門教育科目,テキスト科目,第1類,4,2022,T0EA001901
9547,西洋哲学史Ⅱ,文学部専門教育科目,テキスト科目,第1類,3,2022,T0EA006901
9548,論理学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA003201
9549,科学哲学,文学部専門教育科目,テキスト科目,第1類,4,2022,T0EA010401
9550,倫理学,文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA000801
9551,現代倫理学の諸問題,文学部専門教育科目,テキスト科目,第1類,4,2022,T0EA004401
9552,日本美術史Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA003102
9553,新新・社会学史Ⅱ,文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA001004
9565,社会調査,文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA100601
9554,社会心理学,文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA007003
9555,都市社会学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA010502
12088,心理学A,文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA007401
12089,心理学B,文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA008101
9558,教育学,文学部専門教育科目,テキスト科目,第1類,3,2022,T0EA003302
9559,教育心理学,文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA005502
9560,教育史,文学部専門教育科目,テキスト科目,第1類,4,2022,T0EA004503
9561,教育思想史,文学部専門教育科目,テキスト科目,第1類,4,2022,T0EA001102
9562,教育社会学,文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA007103
9563,心理・教育統計学,文学部専門教育科目,テキスト科目,第1類,3,2022,T0EA007701
9564,新・法学概論(L),文学部専門教育科目,テキスト科目,第1類,2,2022,T0EA099902
9566,史学概論,文学部専門教育科目,テキスト科目,第2類,2,2022,T0EA004701
9748,日本史概論,文学部専門教育科目,テキスト科目,第2類,2,2022,T0EA100501
9740,日本史概説Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2022,T0EA006004
9567,日本史特殊Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2022,T0EA007204
9568,日本史特殊Ⅱ,文学部専門教育科目,テキスト科目,第2類,2,2022,T0EA007804
