id,subject,subject_type,schooling_type,faculty_type,credit,year
3655,哲学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2020
3656,論理学（Ａ）,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2020
7303,文学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2020
3662,歴史（日本史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2020
3663,歴史（東洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2020
3664,歴史（西洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2020
3665,法学（憲法を含む）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2020
3666,政治学（Ａ）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2020
3667,経済学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2020
3668,社会学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2020
3669,統計学（Ａ）,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2020
3670,数学（基礎）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2020
3671,数学（微分・積分）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2020
3672,数学（線形数学）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2020
3673,新・地学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2020
3674,物理学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2020
3675,化学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2020
3676,生物学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2020
3679,英語Ⅰ,総合教育科目,テキスト科目,外国語科目/英語,2,2020
3680,英語Ⅱ,総合教育科目,テキスト科目,外国語科目/英語,2,2020
3681,英語Ⅲ,総合教育科目,テキスト科目,外国語科目/英語,2,2020
3682,英語Ⅶ,総合教育科目,テキスト科目,外国語科目/英語,2,2020
3687,フランス語第一部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2020
3688,フランス語第二部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2020
3689,フランス語第三部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2020
3690,フランス語第四部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2020
3683,ドイツ語第一部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2020
3684,ドイツ語第二部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2020
3685,ドイツ語第三部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2020
3686,ドイツ語第四部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2020
3677,保健衛生,総合教育科目,テキスト科目,保健体育科目,2,2020
3678,体育理論,総合教育科目,テキスト科目,保健体育科目,2,2020
3691,西洋哲学史Ⅰ─古代・中世─,文学部専門教育科目,テキスト科目,第1類,4,2020
3692,西洋哲学史Ⅱ─近世・現代─,文学部専門教育科目,テキスト科目,第1類,3,2020
3693,論理学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2020
3694,科学哲学,文学部専門教育科目,テキスト科目,第1類,4,2020
3695,倫理学,文学部専門教育科目,テキスト科目,第1類,2,2020
3696,現代倫理学の諸問題,文学部専門教育科目,テキスト科目,第1類,4,2020
3697,日本美術史Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2020
3698,社会学史Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2020
3699,新・社会学史Ⅱ,文学部専門教育科目,テキスト科目,第1類,2,2020
3700,新・社会心理学,文学部専門教育科目,テキスト科目,第1類,2,2020
3701,都市社会学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2020
3702,心理学Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2020
3703,心理学Ⅱ―実験・測定・モデルー,文学部専門教育科目,テキスト科目,第1類,2,2020
3704,教育学,文学部専門教育科目,テキスト科目,第1類,3,2020
3705,教育心理学,文学部専門教育科目,テキスト科目,第1類,2,2020
3706,教育史,文学部専門教育科目,テキスト科目,第1類,4,2020
3707,教育思想史,文学部専門教育科目,テキスト科目,第1類,4,2020
3708,教育社会学,文学部専門教育科目,テキスト科目,第1類,2,2020
3709,心理・教育統計学,文学部専門教育科目,テキスト科目,第1類,3,2020
3710,法学概論(L),文学部専門教育科目,テキスト科目,第1類,2,2020
3715,日本史特殊Ⅱ―キリシタン史―,文学部専門教育科目,テキスト科目,第2類,2,2020
3716,日本史特殊Ⅳ,文学部専門教育科目,テキスト科目,第2類,2,2020
3717,古文書学,文学部専門教育科目,テキスト科目,第2類,2,2020
3718,世界史概論,文学部専門教育科目,テキスト科目,第2類,2,2020
3719,東洋史概説Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2020
3720,東洋史概説Ⅱ―中国史―,文学部専門教育科目,テキスト科目,第2類,2,2020
3721,東洋史特殊,文学部専門教育科目,テキスト科目,第2類,2,2020
3722,西洋史概説Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2020
3723,西洋史概説Ⅱ,文学部専門教育科目,テキスト科目,第2類,2,2020
3724,西洋史特殊Ⅰ―古代オリエント史―,文学部専門教育科目,テキスト科目,第2類,2,2020
3725,新・西洋史特殊Ⅱ―近世ヨーロッパの宗教・政治・社会―,文学部専門教育科目,テキスト科目,第2類,2,2020
3726,西洋史特殊Ⅲ―近代イギリス国家の成立（中世から近世へ）―,文学部専門教育科目,テキスト科目,第2類,2,2020
3727,オリエント考古学,文学部専門教育科目,テキスト科目,第2類,2,2020
3728,考古学,文学部専門教育科目,テキスト科目,第2類,2,2020
