id,subject,subject_type,schooling_type,faculty_type,credit,year
16199,哲学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2024
16200,論理学（Ａ）,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2024
17979,文学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2024
16206,歴史（日本史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2024
16207,歴史（東洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2024
16208,歴史（西洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2024
16209,新・法学（憲法を含む）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2024
16210,政治学（Ａ）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2024
16211,新・経済学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2024
16212,社会学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2024
16213,統計学（Ａ）,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2024
16214,数学（基礎）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2024
16215,数学（微分・積分）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2024
16216,数学（線形数学）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2024
16217,地学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2024
16218,物理学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2024
16219,化学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2024
16220,生物学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2024
16223,英語Ⅰ,総合教育科目,テキスト科目,外国語科目/英語,2,2024
16224,英語Ⅱ,総合教育科目,テキスト科目,外国語科目/英語,2,2024
16225,英語Ⅲ,総合教育科目,テキスト科目,外国語科目/英語,2,2024
16226,英語Ⅶ,総合教育科目,テキスト科目,外国語科目/英語,2,2024
16227,ドイツ語第一部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2024
16228,ドイツ語第二部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2024
16229,ドイツ語第三部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2024
16230,ドイツ語第四部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2024
16231,フランス語第一部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2024
16232,フランス語第二部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2024
16233,フランス語第三部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2024
16234,フランス語第四部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2024
16221,新・保健衛生,総合教育科目,テキスト科目,保健体育科目,2,2024
16222,体育理論,総合教育科目,テキスト科目,保健体育科目,2,2024
16235,西洋哲学史Ⅰ,文学部専門教育科目,テキスト科目,第1類,4,2024
16236,西洋哲学史Ⅱ,文学部専門教育科目,テキスト科目,第1類,3,2024
16237,論理学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2024
16238,科学哲学,文学部専門教育科目,テキスト科目,第1類,4,2024
16239,倫理学,文学部専門教育科目,テキスト科目,第1類,2,2024
16240,現代倫理学の諸問題,文学部専門教育科目,テキスト科目,第1類,4,2024
16241,日本美術史Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2024
16243,メディア社会心理学,文学部専門教育科目,テキスト科目,第1類,2,2024
16242,社会調査,文学部専門教育科目,テキスト科目,第1類,2,2024
16244,社会心理学,文学部専門教育科目,テキスト科目,第1類,2,2024
16245,都市社会学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2024
16246,心理学Ａ,文学部専門教育科目,テキスト科目,第1類,2,2024
16247,心理学Ｂ,文学部専門教育科目,テキスト科目,第1類,2,2024
16248,教育学,文学部専門教育科目,テキスト科目,第1類,3,2024
16249,教育心理学,文学部専門教育科目,テキスト科目,第1類,2,2024
16250,教育史,文学部専門教育科目,テキスト科目,第1類,4,2024
16251,教育思想史,文学部専門教育科目,テキスト科目,第1類,4,2024
16252,教育社会学,文学部専門教育科目,テキスト科目,第1類,2,2024
16253,心理・教育統計学,文学部専門教育科目,テキスト科目,第1類,3,2024
16254,法学概論（L),文学部専門教育科目,テキスト科目,第1類,2,2024
16255,史学概論,文学部専門教育科目,テキスト科目,第2類,2,2024
16256,日本史概論,文学部専門教育科目,テキスト科目,第2類,2,2024
16257,日本史概説Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2024
16258,日本史特殊Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2024
16259,日本史特殊Ⅱ,文学部専門教育科目,テキスト科目,第2類,2,2024
16260,日本史特殊Ⅳ,文学部専門教育科目,テキスト科目,第2類,2,2024
16261,古文書学,文学部専門教育科目,テキスト科目,第2類,2,2024
16262,世界史概論,文学部専門教育科目,テキスト科目,第2類,2,2024
16263,東洋史概説Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2024
16264,東洋史概説Ⅱ,文学部専門教育科目,テキスト科目,第2類,2,2024
16265,東洋史特殊,文学部専門教育科目,テキスト科目,第2類,2,2024
16266,西洋史概説Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2024
16267,西洋史概説Ⅱ,文学部専門教育科目,テキスト科目,第2類,2,2024
16268,西洋史特殊Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2024
16269,西洋史特殊Ⅱ,文学部専門教育科目,テキスト科目,第2類,2,2024
16270,西洋史特殊Ⅲ,文学部専門教育科目,テキスト科目,第2類,2,2024
16271,オリエント考古学,文学部専門教育科目,テキスト科目,第2類,2,2024
16272,考古学,文学部専門教育科目,テキスト科目,第2類,2,2024
16273,地理学Ⅰ（Ｌ）,文学部専門教育科目,テキスト科目,第2類,2,2024
16274,地理学Ⅱ（Ｌ）,文学部専門教育科目,テキスト科目,第2類,2,2024
16275,人文地理学（Ｌ）,文学部専門教育科目,テキスト科目,第2類,2,2024
16276,日本語学,文学部専門教育科目,テキスト科目,第3類,2,2024
16277,国語学各論,文学部専門教育科目,テキスト科目,第3類,1,2024
16278,国文学,文学部専門教育科目,テキスト科目,第3類,4,2024
16279,国文学史,文学部専門教育科目,テキスト科目,第3類,3,2024
16280,近代日本文学,文学部専門教育科目,テキスト科目,第3類,3,2024
16281,国文学古典研究Ⅰ,文学部専門教育科目,テキスト科目,第3類,1,2024
16282,国文学古典研究Ⅱ－１,文学部専門教育科目,テキスト科目,第3類,1,2024
16283,国文学古典研究Ⅱ－２,文学部専門教育科目,テキスト科目,第3類,1,2024
16284,国文学古典研究Ⅲ,文学部専門教育科目,テキスト科目,第3類,1,2024
16285,国文学古典研究Ⅳ,文学部専門教育科目,テキスト科目,第3類,1,2024
16286,国語国文学古典研究Ⅴ,文学部専門教育科目,テキスト科目,第3類,2,2024
16287,書道,文学部専門教育科目,テキスト科目,第3類,2,2024
16288,中国文学史,文学部専門教育科目,テキスト科目,第3類,2,2024
16289,漢文学Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2024
16290,漢文学Ⅱ,文学部専門教育科目,テキスト科目,第3類,1,2024
16291,漢文学Ⅲ,文学部専門教育科目,テキスト科目,第3類,1,2024
16292,現代英語学,文学部専門教育科目,テキスト科目,第3類,3,2024
16293,英語学概論,文学部専門教育科目,テキスト科目,第3類,3,2024
16294,英語音声学,文学部専門教育科目,テキスト科目,第3類,2,2024
16295,英語史,文学部専門教育科目,テキスト科目,第3類,2,2024
16296,ACADEMIC WRITING Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2024
16297,ACADEMIC WRITING Ⅱ,文学部専門教育科目,テキスト科目,第3類,4,2024
16298,現代英文学,文学部専門教育科目,テキスト科目,第3類,2,2024
16299,英文学特殊,文学部専門教育科目,テキスト科目,第3類,2,2024
16300,中世英文学史,文学部専門教育科目,テキスト科目,第3類,2,2024
16301,近世英文学史,文学部専門教育科目,テキスト科目,第3類,2,2024
16302,イギリス文学研究Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2024
16303,イギリス文学研究Ⅱ,文学部専門教育科目,テキスト科目,第3類,2,2024
16304,イギリス文学研究Ⅲ,文学部専門教育科目,テキスト科目,第3類,2,2024
16305,アメリカ文学,文学部専門教育科目,テキスト科目,第3類,2,2024
16306,アメリカ文学研究Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2024
16307,アメリカ文学研究Ⅱ,文学部専門教育科目,テキスト科目,第3類,2,2024
16308,シェイクスピア研究,文学部専門教育科目,テキスト科目,第3類,2,2024
16309,日米比較文化論（総論）,文学部専門教育科目,テキスト科目,第3類,2,2024
16310,近代ドイツ小説,文学部専門教育科目,テキスト科目,第3類,2,2024
16311,近代ドイツ演劇,文学部専門教育科目,テキスト科目,第3類,2,2024
16312,フランス文学概説,文学部専門教育科目,テキスト科目,第3類,3,2024
16313,フランス文学史Ⅰ,文学部専門教育科目,テキスト科目,第3類,4,2024
16314,フランス文学史Ⅱ,文学部専門教育科目,テキスト科目,第3類,4,2024
