id,subject,subject_type,schooling_type,faculty_type,credit,year,class_code
16199,哲学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2024,T0AA000502
16200,論理学（Ａ）,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2024,T0AA000201
17979,文学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2024,T0AA000401
16206,歴史（日本史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2024,T0AA000103
16207,歴史（東洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2024,T0AA000302
16208,歴史（西洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2024,T0AA000601
16209,新・法学（憲法を含む）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2024,T0AB000202
16210,政治学（Ａ）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2024,T0AB000401
16211,新・経済学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2024,T0AB000102
16212,社会学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2024,T0AB000304
16213,統計学（Ａ）,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2024,T0AC000604
16214,数学（基礎）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2024,T0AC000702
16215,数学（微分・積分）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2024,T0AC000801
16216,数学（線形数学）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2024,T0AC000403
16217,地学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2024,T0AC000504
16218,物理学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2024,T0AC000103
16219,化学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2024,T0AC000203
16220,生物学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2024,T0AC000304
16223,英語Ⅰ,総合教育科目,テキスト科目,外国語科目/英語,2,2024,T0DA000701
16224,英語Ⅱ,総合教育科目,テキスト科目,外国語科目/英語,2,2024,T0DA000302
16225,英語Ⅲ,総合教育科目,テキスト科目,外国語科目/英語,2,2024,T0DA000801
16226,英語Ⅶ,総合教育科目,テキスト科目,外国語科目/英語,2,2024,T0DA000401
16227,ドイツ語第一部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2024,T0DB000102
16228,ドイツ語第二部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2024,T0DB000202
16229,ドイツ語第三部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2024,T0DB000402
16230,ドイツ語第四部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2024,T0DB000301
16231,フランス語第一部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2024,T0DC000103
16232,フランス語第二部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2024,T0DC000203
16233,フランス語第三部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2024,T0DC000403
16234,フランス語第四部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2024,T0DC000702
16221,新・保健衛生,総合教育科目,テキスト科目,保健体育科目,2,2024,T0CA000204
16222,体育理論,総合教育科目,テキスト科目,保健体育科目,2,2024,T0CA000103
16235,西洋哲学史Ⅰ,文学部専門教育科目,テキスト科目,第1類,4,2024,T0EA001901
16236,西洋哲学史Ⅱ,文学部専門教育科目,テキスト科目,第1類,3,2024,T0EA006901
16237,論理学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2024,T0EA003201
16238,科学哲学,文学部専門教育科目,テキスト科目,第1類,4,2024,T0EA010401
16239,倫理学,文学部専門教育科目,テキスト科目,第1類,2,2024,T0EA000801
16240,現代倫理学の諸問題,文学部専門教育科目,テキスト科目,第1類,4,2024,T0EA004401
16241,日本美術史Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2024,T0EA003102
16243,メディア社会心理学,文学部専門教育科目,テキスト科目,第1類,2,2024,T0EA100701
16242,社会調査,文学部専門教育科目,テキスト科目,第1類,2,2024,T0EA100601
16244,社会心理学,文学部専門教育科目,テキスト科目,第1類,2,2024,T0EA007003
16245,都市社会学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2024,T0EA010502
16246,心理学Ａ,文学部専門教育科目,テキスト科目,第1類,2,2024,T0EA007401
16247,心理学Ｂ,文学部専門教育科目,テキスト科目,第1類,2,2024,T0EA008101
16248,教育学,文学部専門教育科目,テキスト科目,第1類,3,2024,T0EA003302
16249,教育心理学,文学部専門教育科目,テキスト科目,第1類,2,2024,T0EA005502
16250,教育史,文学部専門教育科目,テキスト科目,第1類,4,2024,T0EA004503
16251,教育思想史,文学部専門教育科目,テキスト科目,第1類,4,2024,T0EA001102
