id,subject,subject_type,schooling_type,faculty_type,credit,year
7821,国文学古典研究Ⅰ,文学部専門教育科目,テキスト科目,第3類,1,2021
7822,国文学古典研究Ⅱ－１,文学部専門教育科目,テキスト科目,第3類,1,2021
7823,国文学古典研究Ⅱ－２,文学部専門教育科目,テキスト科目,第3類,1,2021
7824,国文学古典研究Ⅲ,文学部専門教育科目,テキスト科目,第3類,1,2021
7825,国文学古典研究Ⅳ,文学部専門教育科目,テキスト科目,第3類,1,2021
7826,国語国文学古典研究Ⅴ,文学部専門教育科目,テキスト科目,第3類,2,2021
7827,書道,文学部専門教育科目,テキスト科目,第3類,2,2021
7828,中国文学史,文学部専門教育科目,テキスト科目,第3類,2,2021
7829,漢文学Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2021
7830,漢文学Ⅱ,文学部専門教育科目,テキスト科目,第3類,1,2021
7831,漢文学Ⅲ,文学部専門教育科目,テキスト科目,第3類,1,2021
7832,現代英語学,文学部専門教育科目,テキスト科目,第3類,3,2021
7833,英語学概論,文学部専門教育科目,テキスト科目,第3類,3,2021
7834,英語音声学,文学部専門教育科目,テキスト科目,第3類,2,2021
7835,英語史,文学部専門教育科目,テキスト科目,第3類,2,2021
7836,ACADEMIC WRITING Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2021
7837,ACADEMIC WRITING Ⅱ,文学部専門教育科目,テキスト科目,第3類,4,2021
7838,現代英文学,文学部専門教育科目,テキスト科目,第3類,2,2021
7839,英文学特殊,文学部専門教育科目,テキスト科目,第3類,2,2021
7840,中世英文学史,文学部専門教育科目,テキスト科目,第3類,2,2021
7841,近世英文学史,文学部専門教育科目,テキスト科目,第3類,2,2021
7842,イギリス文学研究Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2021
7843,イギリス文学研究Ⅱ,文学部専門教育科目,テキスト科目,第3類,2,2021
7844,イギリス文学研究Ⅲ,文学部専門教育科目,テキスト科目,第3類,2,2021
7845,アメリカ文学,文学部専門教育科目,テキスト科目,第3類,2,2021
7846,アメリカ文学研究Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2021
7847,新・アメリカ文学研究Ⅱ,文学部専門教育科目,テキスト科目,第3類,2,2021
7848,シェイクスピア研究,文学部専門教育科目,テキスト科目,第3類,2,2021
7849,新・日米比較文化論（総論）,文学部専門教育科目,テキスト科目,第3類,2,2021
7850,近代ドイツ小説,文学部専門教育科目,テキスト科目,第3類,2,2021
7851,近代ドイツ演劇,文学部専門教育科目,テキスト科目,第3類,2,2021
7852,フランス文学概説,文学部専門教育科目,テキスト科目,第3類,3,2021
7853,フランス文学史Ⅰ,文学部専門教育科目,テキスト科目,第3類,4,2021
7854,フランス文学史Ⅱ,文学部専門教育科目,テキスト科目,第3類,4,2021
7855,ロシア文学,文学部専門教育科目,テキスト科目,第3類,2,2021
7856,ラテン文学,文学部専門教育科目,テキスト科目,第3類,1,2021
7857,経済原論（ミクロ経済学）（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7858,経済原論（マクロ経済学）（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7862,経済史,経済学部専門教育科目,テキスト科目,,4,2021
7866,経済政策学（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7867,財政論（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7868,金融論（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7875,経営学（Ｅ）,経済学部専門教育科目,テキスト科目,,3,2021
7859,経済変動論,経済学部専門教育科目,テキスト科目,,2,2021
7860,国民所得論,経済学部専門教育科目,テキスト科目,,2,2021
7861,計量経済学,経済学部専門教育科目,テキスト科目,,2,2021
7863,日本経済史,経済学部専門教育科目,テキスト科目,,2,2021
7864,世界経済史,経済学部専門教育科目,テキスト科目,,4,2021
7865,社会思想史,経済学部専門教育科目,テキスト科目,,4,2021
7869,社会政策（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7870,社会保障論（Ｅ）,経済学部専門教育科目,テキスト科目,,3,2021
9051,国際貿易論,経済学部専門教育科目,テキスト科目,,4,2021
7873,人文地理学（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7871,地理学Ⅰ（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7872,地理学Ⅱ（地誌学）（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7874,都市社会学（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7876,経営分析論,経済学部専門教育科目,テキスト科目,,2,2021
7877,経営数学,経済学部専門教育科目,テキスト科目,,2,2021
7878,商業学,経済学部専門教育科目,テキスト科目,,2,2021
7879,新・保険学,経済学部専門教育科目,テキスト科目,,3,2021
7880,会計学（Ｅ）,経済学部専門教育科目,テキスト科目,,3,2021
7881,簿記論,経済学部専門教育科目,テキスト科目,,2,2021
7882,原価計算,経済学部専門教育科目,テキスト科目,,2,2021
7883,会計監査,経済学部専門教育科目,テキスト科目,,2,2021
7884,法学概論(E),経済学部専門教育科目,テキスト科目,,2,2021
7885,憲法（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7886,民法,経済学部専門教育科目,テキスト科目,,4,2021
7887,労働法（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7888,新・経済法（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2021
7889,会社法（Ｅ）,経済学部専門教育科目,テキスト科目,,4,2021
7890,憲法（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
