id,subject,subject_type,schooling_type,faculty_type,credit,year
9527,哲学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2022
9528,論理学（Ａ）,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2022
12360,文学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2022
9732,歴史（日本史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2022
9529,歴史（東洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2022
9530,歴史（西洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2022
9531,法学（憲法を含む）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2022
9532,政治学（Ａ）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2022
9533,経済学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2022
9534,新・社会学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2022
9746,統計学（Ａ）,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2022
9733,数学（基礎）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2022
9734,数学（微分・積分）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2022
9735,数学（線形数学）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2022
9747,地学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2022
9535,物理学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2022
9744,化学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2022
9745,新・生物学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2022
9736,英語Ⅰ,総合教育科目,テキスト科目,外国語科目/英語,2,2022
9737,英語Ⅱ,総合教育科目,テキスト科目,外国語科目/英語,2,2022
9538,英語Ⅲ,総合教育科目,テキスト科目,外国語科目/英語,2,2022
9738,英語Ⅶ,総合教育科目,テキスト科目,外国語科目/英語,2,2022
9539,ドイツ語第一部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2022
9540,ドイツ語第二部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2022
9739,ドイツ語第三部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2022
9541,ドイツ語第四部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2022
9542,新・フランス語第一部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2022
9543,新・フランス語第二部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2022
9544,新・フランス語第三部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2022
9545,フランス語第四部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2022
9536,保健衛生,総合教育科目,テキスト科目,保健体育科目,2,2022
9537,新・体育理論,総合教育科目,テキスト科目,保健体育科目,2,2022
9546,西洋哲学史Ⅰ,文学部専門教育科目,テキスト科目,第1類,4,2022
9547,西洋哲学史Ⅱ,文学部専門教育科目,テキスト科目,第1類,3,2022
