id,subject,subject_type,schooling_type,faculty_type,credit,year,class_code
18861,西洋史特殊Ⅲ,文学部専門教育科目,テキスト科目,第2類,2,2025,T0EA001401
18862,オリエント考古学,文学部専門教育科目,テキスト科目,第2類,2,2025,T0EA007603
18863,考古学,文学部専門教育科目,テキスト科目,第2類,2,2025,T0EA003602
18864,地理学Ⅰ（Ｌ）,文学部専門教育科目,テキスト科目,第2類,2,2025,T0EA003502
18865,地理学Ⅱ（Ｌ）,文学部専門教育科目,テキスト科目,第2類,2,2025,T0EA005902
18866,人文地理学（Ｌ）,文学部専門教育科目,テキスト科目,第2類,2,2025,T0EA004803
18867,日本語学,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA100401
18868,国語学各論,文学部専門教育科目,テキスト科目,第3類,1,2025,T0EA002402
18869,国文学,文学部専門教育科目,テキスト科目,第3類,4,2025,T0EA002502
18870,国文学史,文学部専門教育科目,テキスト科目,第3類,3,2025,T0EA000101
18871,近代日本文学,文学部専門教育科目,テキスト科目,第3類,3,2025,T0EA001502
18872,国文学古典研究Ⅰ,文学部専門教育科目,テキスト科目,第3類,1,2025,T0EA003802
18873,国文学古典研究Ⅱ－１,文学部専門教育科目,テキスト科目,第3類,1,2025,T0EA005001
18874,国文学古典研究Ⅱ－２,文学部専門教育科目,テキスト科目,第3類,1,2025,T0EA006101
18875,国文学古典研究Ⅲ,文学部専門教育科目,テキスト科目,第3類,1,2025,T0EA000202
18876,国文学古典研究Ⅳ,文学部専門教育科目,テキスト科目,第3類,1,2025,T0EA008201
18877,国語国文学古典研究Ⅴ,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA003902
18878,書道,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA007501
18879,中国文学史,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA002601
18880,漢文学Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA008601
18881,漢文学Ⅱ,文学部専門教育科目,テキスト科目,第3類,1,2025,T0EA001601
18882,漢文学Ⅲ,文学部専門教育科目,テキスト科目,第3類,1,2025,T0EA004001
18883,現代英語学,文学部専門教育科目,テキスト科目,第3類,3,2025,T0EA000303
18884,英語学概論,文学部専門教育科目,テキスト科目,第3類,3,2025,T0EA007902
18885,英語音声学,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA002702
18886,英語史,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA001701
18887,ACADEMIC WRITING Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA009102
18888,ACADEMIC WRITING Ⅱ,文学部専門教育科目,テキスト科目,第3類,4,2025,T0EA009301
