id,subject,subject_type,schooling_type,faculty_type,credit,year
13957,哲学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2023
13958,論理学（Ａ）,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2023
15580,文学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2023
13964,歴史（日本史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2023
13965,歴史（東洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2023
13966,歴史（西洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2023
13967,新・法学（憲法を含む）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2023
13968,政治学（Ａ）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2023
15384,新・経済学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2023
13970,新・社会学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2023
13971,統計学（Ａ）,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2023
13972,数学（基礎）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2023
13973,数学（微分・積分）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2023
13974,数学（線形数学）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2023
13975,地学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2023
13976,物理学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2023
13977,化学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2023
13978,生物学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2023
13981,英語Ⅰ,総合教育科目,テキスト科目,外国語科目/英語,2,2023
13982,英語Ⅱ,総合教育科目,テキスト科目,外国語科目/英語,2,2023
13983,英語Ⅲ,総合教育科目,テキスト科目,外国語科目/英語,2,2023
13984,英語Ⅶ,総合教育科目,テキスト科目,外国語科目/英語,2,2023
13985,ドイツ語第一部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2023
13986,ドイツ語第二部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2023
13987,ドイツ語第三部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2023
13988,ドイツ語第四部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2023
13989,フランス語第一部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2023
13990,フランス語第二部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2023
13991,新・フランス語第三部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2023
13992,フランス語第四部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2023
13979,保健衛生,総合教育科目,テキスト科目,保健体育科目,2,2023
13980,新・体育理論,総合教育科目,テキスト科目,保健体育科目,2,2023
13993,西洋哲学史Ⅰ,文学部専門教育科目,テキスト科目,第1類,4,2023
13994,西洋哲学史Ⅱ,文学部専門教育科目,テキスト科目,第1類,3,2023
13995,論理学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2023
13996,科学哲学,文学部専門教育科目,テキスト科目,第1類,4,2023
13997,倫理学,文学部専門教育科目,テキスト科目,第1類,2,2023
13998,現代倫理学の諸問題,文学部専門教育科目,テキスト科目,第1類,4,2023
13999,日本美術史Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2023
14000,メディア社会心理学,文学部専門教育科目,テキスト科目,第1類,2,2023
14001,社会心理学,文学部専門教育科目,テキスト科目,第1類,2,2023
14002,都市社会学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2023
14003,心理学Ａ,文学部専門教育科目,テキスト科目,第1類,2,2023
14004,心理学Ｂ,文学部専門教育科目,テキスト科目,第1類,2,2023
14005,教育学,文学部専門教育科目,テキスト科目,第1類,3,2023
14006,教育心理学,文学部専門教育科目,テキスト科目,第1類,2,2023
14007,教育史,文学部専門教育科目,テキスト科目,第1類,4,2023
14008,教育思想史,文学部専門教育科目,テキスト科目,第1類,4,2023
14009,教育社会学,文学部専門教育科目,テキスト科目,第1類,2,2023
14010,心理・教育統計学,文学部専門教育科目,テキスト科目,第1類,3,2023
14011,新・法学概論（L),文学部専門教育科目,テキスト科目,第1類,2,2023
