id,subject,subject_type,schooling_type,faculty_type,credit,year,class_code
3655,哲学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2020,T0AA000502
3656,論理学（Ａ）,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2020,T0AA000201
7303,文学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2020,T0AA000401
3662,歴史（日本史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2020,T0AA000103
3663,歴史（東洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2020,T0AA000302
3664,歴史（西洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2020,T0AA000601
3665,法学（憲法を含む）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2020,T0AB000201
3666,政治学（Ａ）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2020,T0AB000401
3667,経済学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2020,T0AB000101
3668,社会学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2020,T0AB000303
3669,統計学（Ａ）,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2020,T0AC000604
3670,数学（基礎）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2020,T0AC000702
3671,数学（微分・積分）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2020,T0AC000801
3672,数学（線形数学）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2020,T0AC000403
3673,新・地学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2020,T0AC000504
3674,物理学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2020,T0AC000103
3675,化学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2020,T0AC000203
3676,生物学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2020,T0AC000303
3679,英語Ⅰ,総合教育科目,テキスト科目,外国語科目/英語,2,2020,T0DA000701
3680,英語Ⅱ,総合教育科目,テキスト科目,外国語科目/英語,2,2020,T0DA000302
3681,英語Ⅲ,総合教育科目,テキスト科目,外国語科目/英語,2,2020,T0DA000801
3682,英語Ⅶ,総合教育科目,テキスト科目,外国語科目/英語,2,2020,T0DA000401
3687,フランス語第一部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2020,T0DC000102
3688,フランス語第二部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2020,T0DC000202
3689,フランス語第三部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2020,T0DC000402
3690,フランス語第四部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2020,T0DC000702
3683,ドイツ語第一部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2020,T0DB000102
3684,ドイツ語第二部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2020,T0DB000202
3685,ドイツ語第三部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2020,T0DB000402
3686,ドイツ語第四部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2020,T0DB000301
3677,保健衛生,総合教育科目,テキスト科目,保健体育科目,2,2020,T0CA000203
3678,体育理論,総合教育科目,テキスト科目,保健体育科目,2,2020,T0CA000102
3691,西洋哲学史Ⅰ─古代・中世─,文学部専門教育科目,テキスト科目,第1類,4,2020,T0EA001901
3692,西洋哲学史Ⅱ─近世・現代─,文学部専門教育科目,テキスト科目,第1類,3,2020,T0EA006901
3693,論理学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2020,T0EA003201
3694,科学哲学,文学部専門教育科目,テキスト科目,第1類,4,2020,T0EA010401
3695,倫理学,文学部専門教育科目,テキスト科目,第1類,2,2020,T0EA000801
3696,現代倫理学の諸問題,文学部専門教育科目,テキスト科目,第1類,4,2020,T0EA004401
3697,日本美術史Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2020,T0EA003102
3698,社会学史Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2020,T0EA002102
