id,subject,subject_type,schooling_type,faculty_type,credit,year,class_code
13957,哲学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2023,T0AA000502
13958,論理学（Ａ）,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2023,T0AA000201
15580,文学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2023,T0AA000401
13964,歴史（日本史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2023,T0AA000103
13965,歴史（東洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2023,T0AA000302
13966,歴史（西洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2023,T0AA000601
13967,新・法学（憲法を含む）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2023,T0AB000202
13968,政治学（Ａ）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2023,T0AB000401
15384,新・経済学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2023,T0AB000102
13970,新・社会学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2023,T0AB000304
13971,統計学（Ａ）,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2023,T0AC000604
13972,数学（基礎）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2023,T0AC000702
13973,数学（微分・積分）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2023,T0AC000801
13974,数学（線形数学）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2023,T0AC000403
13975,地学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2023,T0AC000504
13976,物理学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2023,T0AC000103
13977,化学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2023,T0AC000203
13978,生物学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2023,T0AC000304
13981,英語Ⅰ,総合教育科目,テキスト科目,外国語科目/英語,2,2023,T0DA000701
13982,英語Ⅱ,総合教育科目,テキスト科目,外国語科目/英語,2,2023,T0DA000302
13983,英語Ⅲ,総合教育科目,テキスト科目,外国語科目/英語,2,2023,T0DA000801
13984,英語Ⅶ,総合教育科目,テキスト科目,外国語科目/英語,2,2023,T0DA000401
13985,ドイツ語第一部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2023,T0DB000102
13986,ドイツ語第二部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2023,T0DB000202
13987,ドイツ語第三部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2023,T0DB000402
13988,ドイツ語第四部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2023,T0DB000301
13989,フランス語第一部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2023,T0DC000103
13990,フランス語第二部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2023,T0DC000203
13991,新・フランス語第三部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2023,T0DC000403
13992,フランス語第四部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2023,T0DC000702
13979,保健衛生,総合教育科目,テキスト科目,保健体育科目,2,2023,T0CA000203
13980,新・体育理論,総合教育科目,テキスト科目,保健体育科目,2,2023,T0CA000103
