No, 授業形態, 大分類, 中分類, 小分類, 科目名, 科目名(新を除く), 配本名, 期No, 群, 単位数, レポ提出
14008, テキスト, 文学部専門教育科目, 第1類, , 教育思想史, 教育思想史, Ⅲ②, 6, A, 4, WEB可
14009, テキスト, 文学部専門教育科目, 第1類, , 教育社会学, 教育社会学, Ⅳ①, 7, F, 2, WEB可
14010, テキスト, 文学部専門教育科目, 第1類, , 心理・教育統計学, 心理・教育統計学, Ⅳ②, 8, B, 3, WEB可
14011, テキスト, 文学部専門教育科目, 第1類, , 新・法学概論（L), 法学概論（L), Ⅱ, 3, D, 2, 郵送
14012, テキスト, 文学部専門教育科目, 第1類, , 社会調査, 社会調査, Ⅲ②, 6, A, 2, WEB可
14013, テキスト, 文学部専門教育科目, 第2類, , 史学概論, 史学概論, Ⅱ, 3, D, 2, WEB可
14014, テキスト, 文学部専門教育科目, 第2類, , 日本史概論, 日本史概論, Ⅱ, 3, C, 2, 手書き
14015, テキスト, 文学部専門教育科目, 第2類, , 日本史概説Ⅰ, 日本史概説Ⅰ, Ⅱ, 3, E, 2, 手書き
14016, テキスト, 文学部専門教育科目, 第2類, , 日本史特殊Ⅰ, 日本史特殊Ⅰ, Ⅳ②, 8, F, 2, WEB可
14017, テキスト, 文学部専門教育科目, 第2類, , 日本史特殊Ⅱ, 日本史特殊Ⅱ, Ⅳ②, 8, F, 2, 郵送
14018, テキスト, 文学部専門教育科目, 第2類, , 日本史特殊Ⅳ, 日本史特殊Ⅳ, Ⅳ②, 8, C, 2, WEB可
14019, テキスト, 文学部専門教育科目, 第2類, , 新・古文書学, 古文書学, Ⅳ②, 8, C, 2, 手書き
14020, テキスト, 文学部専門教育科目, 第2類, , 世界史概論, 世界史概論, Ⅲ①, 5, C, 2, 郵送
14021, テキスト, 文学部専門教育科目, 第2類, , 東洋史概説Ⅰ, 東洋史概説Ⅰ, Ⅱ, 3, A, 2, WEB可
14022, テキスト, 文学部専門教育科目, 第2類, , 東洋史概説Ⅱ, 東洋史概説Ⅱ, Ⅲ②, 6, E, 2, 郵送
14023, テキスト, 文学部専門教育科目, 第2類, , 東洋史特殊, 東洋史特殊, Ⅳ①, 7, B, 2, WEB可
14024, テキスト, 文学部専門教育科目, 第2類, , 西洋史概説Ⅰ, 西洋史概説Ⅰ, Ⅱ, 3, A, 2, WEB可
14025, テキスト, 文学部専門教育科目, 第2類, , 西洋史概説Ⅱ, 西洋史概説Ⅱ, Ⅲ①, 5, E, 2, 郵送
14026, テキスト, 文学部専門教育科目, 第2類, , 新・西洋史特殊Ⅰ, 西洋史特殊Ⅰ, Ⅳ①, 7, B, 2, 郵送
14027, テキスト, 文学部専門教育科目, 第2類, , 西洋史特殊Ⅱ, 西洋史特殊Ⅱ, Ⅱ, 3, D, 2, WEB可
14028, テキスト, 文学部専門教育科目, 第2類, , 西洋史特殊Ⅲ, 西洋史特殊Ⅲ, Ⅲ②, 6, A, 2, WEB可
14029, テキスト, 文学部専門教育科目, 第2類, , 新・オリエント考古学, オリエント考古学, Ⅳ①, 7, B, 2, 郵送
14030, テキスト, 文学部専門教育科目, 第2類, , 考古学, 考古学, Ⅳ①, 7, C, 2, WEB可
14031, テキスト, 文学部専門教育科目, 第2類, , 地理学Ⅰ（Ｌ）, 地理学Ⅰ（Ｌ）, Ⅲ①, 5, C, 2, WEB可
14032, テキスト, 文学部専門教育科目, 第2類, , 地理学Ⅱ（Ｌ）, 地理学Ⅱ（Ｌ）, Ⅲ①, 5, E, 2, WEB可
14033, テキスト, 文学部専門教育科目, 第2類, , 人文地理学（Ｌ）, 人文地理学（Ｌ）, Ⅱ, 3, D, 2, WEB可
14034, テキスト, 文学部専門教育科目, 第3類, , 日本語学, 日本語学, Ⅲ①, 5, D, 2, 手書き
14035, テキスト, 文学部専門教育科目, 第3類, , 国語学各論, 国語学各論, Ⅲ②, 6, C, 1, 手書き
14036, テキスト, 文学部専門教育科目, 第3類, , 国文学, 国文学, Ⅱ, 3, C, 4, WEB可
14037, テキスト, 文学部専門教育科目, 第3類, , 国文学史, 国文学史, Ⅲ②, 6, A, 3, WEB可
14038, テキスト, 文学部専門教育科目, 第3類, , 近代日本文学, 近代日本文学, Ⅳ②, 8, B, 3, WEB可
14039, テキスト, 文学部専門教育科目, 第3類, , 国文学古典研究Ⅰ, 国文学古典研究Ⅰ, Ⅳ②, 8, D, 1, 手書き
14040, テキスト, 文学部専門教育科目, 第3類, , 国文学古典研究Ⅱ－１, 国文学古典研究Ⅱ－１, Ⅳ①, 7, E, 1, 手書き
14041, テキスト, 文学部専門教育科目, 第3類, , 国文学古典研究Ⅱ－２, 国文学古典研究Ⅱ－２, Ⅳ①, 7, F, 1, 手書き
14042, テキスト, 文学部専門教育科目, 第3類, , 国文学古典研究Ⅲ, 国文学古典研究Ⅲ, Ⅳ①, 7, A, 1, WEB可
14043, テキスト, 文学部専門教育科目, 第3類, , 国文学古典研究Ⅳ, 国文学古典研究Ⅳ, Ⅲ①, 5, E, 1, WEB可
14044, テキスト, 文学部専門教育科目, 第3類, , 国語国文学古典研究Ⅴ, 国語国文学古典研究Ⅴ, Ⅲ①, 5, D, 2, WEB可
14045, テキスト, 文学部専門教育科目, 第3類, , 書道, 書道, Ⅳ②, 8, D, 2, 手書き
14046, テキスト, 文学部専門教育科目, 第3類, , 中国文学史, 中国文学史, Ⅳ①, 7, C, 2, WEB可
14047, テキスト, 文学部専門教育科目, 第3類, , 漢文学Ⅰ, 漢文学Ⅰ, Ⅳ②, 8, F, 2, WEB可
