ID, Name, Form, CategoryID, SubcategoryID, CouseID, Group, Level, Unit, Start, End
T1D07, 現代英文学, T, 9, 3, 1D, C, 6, 2, 2000, 2100
T1D08, 英文学特殊, T, 9, 3, 1D, E, 5, 2, 2000, 2100
T1D09, 中世英文学史, T, 9, 3, 1D, E, 5, 2, 2000, 2100
T1D10, 近世英文学史, T, 9, 3, 1D, F, 3, 2, 2000, 2100
T1D11, 英文学研究1, T, 9, 3, 1D, A, 5, 2, 2000, 2100
T1D12, 英文学研究2, T, 9, 3, 1D, E, 8, 2, 2000, 2100
T1D13, 英文学研究3, T, 9, 3, 1D, A, 7, 2, 2000, 2100
T1D14, 米文学, T, 9, 3, 1D, D, 6, 2, 2000, 2100
T1D15, 米文学研究1, T, 9, 3, 1D, D, 7, 2, 2000, 2100
T1D16, 米文学研究2, T, 9, 3, 1D, F, 7, 2, 2000, 2100
T1D17, SS研究, T, 9, 3, 1D, C, 7, 2, 2000, 2100
M1D01, E-英語史, M/B, 9, 3, 1D, A, 1, 2, 2014, 2100
M1D02, E-SS研究, M/B, 9, 3, 1D, C, 1, 2, 2022, 2100
S1D01, 英語学, S, 9, 3, 1D, , 3, 2, , 
S1D02, 英語史, S, 9, 3, 1D, , 3, 2, , 
S1D03, 日米比較文化論, S, 9, 3, 1D, , 3, 2, , 
S1D04, イギリス文学, S, 9, 3, 1D, , 3, 2, , 
S1D05, SS研究, S, 9, 3, 1D, , 3, 2, , 
S1D06, 英米散文研究, S, 9, 3, 1D, , 3, 2, , 
S1D07, 英米戯曲研究, S, 9, 3, 1D, , 3, 2, , 
S1D08, アメリカ文学, S, 9, 3, 1D, , 3, 2, , 
T1E01, 近代独小説, T, 9, 3, 1E, F, 6, 2, 2000, 2100
T1E02, 日米比較(総), T, 9, 3, 1E, D, 6, 2, 2000, 2100
T1E03, 近代独演劇, T, 9, 3, 1E, D, 7, 2, 2000, 2100
S1E01, ドイツ語学文学, S, 9, 3, 1E, , 3, 2, , 
S1E02, ドイツ文学研究, S, 9, 3, 1E, , 3, 2, , 
S1E03, ドイツ文学史, S, 9, 3, 1E, , 3, 2, , 
