No, 授業形態, 大分類, 中分類, 小分類, 科目名, 科目名(新を除く), 配本名, 期No, 群, 単位数, レポ提出
18997, テキスト, 法学部専門教育科目, , , 地理学Ⅱ（Ｊ）, 地理学Ⅱ（Ｊ）, Ⅲ②, 6, E, 2, WEB可
18998, テキスト, 教職課程専門教育科目, , , 教育基礎論, 教育基礎論, , , F, 2, 郵送
19000, テキスト, 教職課程専門教育科目, , , 青年の心理, 青年の心理, , , D, 1, WEB可
19001, テキスト, 教職課程専門教育科目, , , 学校カリキュラム論, 学校カリキュラム論, , , B, 2, WEB可
19002, テキスト, 教職課程専門教育科目, , , 国語科教育法, 国語科教育法, , , A, 3, WEB可
19003, テキスト, 教職課程専門教育科目, , , 国語科教育法Ⅰ, 国語科教育法Ⅰ, , , A, 2, WEB可
19004, テキスト, 教職課程専門教育科目, , , 国語科教育法特殊Ⅰ, 国語科教育法特殊Ⅰ, , , A, 2, WEB可
19005, テキスト, 教職課程専門教育科目, , , 社会科・地理歴史科教育法, 社会科・地理歴史科教育法, , , D, 3, WEB可
19006, テキスト, 教職課程専門教育科目, , , 社会科・地理歴史科教育法Ⅰ, 社会科・地理歴史科教育法Ⅰ, , , C, 2, WEB可
19007, テキスト, 教職課程専門教育科目, , , 社会科・地理歴史科教育法特論Ⅱ, 社会科・地理歴史科教育法特論Ⅱ, , , C, 2, WEB可
19008, テキスト, 教職課程専門教育科目, , , 社会科・公民科教育法, 社会科・公民科教育法, , , E, 3, 手書き
19009, テキスト, 教職課程専門教育科目, , , 社会科・公民科教育法Ⅰ, 社会科・公民科教育法Ⅰ, , , C, 2, WEB可
19010, テキスト, 教職課程専門教育科目, , , 社会科・公民科教育法特論Ⅱ, 社会科・公民科教育法特論Ⅱ, , , C, 2, WEB可
19011, テキスト, 教職課程専門教育科目, , , 英語科教育法, 英語科教育法, , , B, 3, WEB可
19012, テキスト, 教職課程専門教育科目, , , 英語科教育法Ⅰ, 英語科教育法Ⅰ, , , B, 2, WEB可
19013, テキスト, 教職課程専門教育科目, , , 英語科教育法特殊Ⅰ, 英語科教育法特殊Ⅰ, , , B, 2, 郵送
19014, テキスト, 教職課程専門教育科目, , , 新・道徳教育論, 道徳教育論, , , E, 2, WEB可
19016, テキスト, 教職課程専門教育科目, , , 特別活動論, 特別活動論, , , F, 2, WEB可
19015, テキスト, 教職課程専門教育科目, , , 特別支援教育論, 特別支援教育論, , , F, 2, WEB可
19017, テキスト, 教職課程専門教育科目, , , 生活指導論, 生活指導論, , , A, 2, WEB可
19018, テキスト, 教職課程専門教育科目, , , 生徒指導論（進路指導を含む）, 生徒指導論（進路指導を含む）, , , A, 2, WEB可
19019, テキスト, 教職課程専門教育科目, , , 教育臨床論, 教育臨床論, , , D, 2, WEB可
19020, テキスト, 教職課程専門教育科目, , , 教育相談論, 教育相談論, , , D, 2, WEB可
19021, テキスト, 教職課程専門教育科目, , , 総合的な探究・学習論, 総合的な探究・学習論, , , E, 1, WEB可
18999, テキスト, 教職課程専門教育科目, , , 現代教師論, 現代教師論, , , B, 2, WEB可
